"Agency","Award Date","Vendor","Contract","Contract-ID","Subject","Current Contract Value","Status","Completion Date","Procurement Method","Category","NGIP Codes and Categories","Vendor ID"
"Department of Public Safety","2012-12-21","WRIGHT LINE LLC","405-13-30933","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-30933' target='_blank'>405-13-30933</a>","Command Consoles","$69,654","Completed","09/30/2016","Competitive","Goods","425-94 Goods","""10304712689*00"""
"Department of Public Safety","2013-01-01","COWTOWN 2000 LLC","405-13-30267","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-30267' target='_blank'>405-13-30267</a>","Building Lease - Ft. Worth 20298","$9,439,273","Active","09/30/2026","Competitive","Goods","971-45 Rental or Lease","""14549734706000"""
"Department of Public Safety","2013-01-07","TEXAS DEPARTMENT OF CRIMINAL JUSTICE","405-13-31146","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-31146' target='_blank'>405-13-31146</a>","Monthly Produciton of Voter Registration Cards","$428,400","Completed","08/31/2015","Non-Comp, Interagency","Other","966-36 Other Services","""17460014313017"""
"Department of Public Safety","2013-01-25","SHIMADZU SCIENTIFIC INST INC","405-13-31290","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-31290' target='_blank'>405-13-31290</a>","Gas Chromatograph","$166,333","Completed","04/24/2017","Competitive","Goods","493-11 Goods","""15210359566003"""
"Department of Public Safety","2013-03-07","SMARTMAIL OF AUSTIN INC","405-15-P000333","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000333' target='_blank'>405-15-P000333</a>","Sex Offender Mailings","$810,000","Completed","10/30/2017","Competitive","Goods","961-47 Security/Safety Services","""17423937642000"""
"Department of Public Safety","2013-03-28","PITNEY BOWES PRESORT SERVICES INC","405-13-32290","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-32290' target='_blank'>405-13-32290</a>","Purchase order for presort and barcoding","$3,182,680","Completed","08/31/2015","Competitive","Other","915-58 Other Services","""14707942158006"""
"Department of Public Safety","2013-03-28","TRANSLATION SOURCE LTD","405-THP-13-B31759","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-THP-13-B31759' target='_blank'>405-THP-13-B31759</a>","Translation Services","$85,000","Completed","08/31/2017","Competitive","Other","961-75 Other Services","""17430850648000"""
"Department of Public Safety","2013-04-03","INX INC","405-13-31561","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-31561' target='_blank'>405-13-31561</a>","Blanket Order for Cisco Equipment","$500,000","Completed","05/16/2016","Competitive","Goods","726-88 Goods","""17605152499003"""
"Department of Public Safety","2013-04-23","THE UNIVERSITY OF TEXAS AT AUSTIN","405-13-31674","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-31674' target='_blank'>405-13-31674</a>","State of Texas Emergency Assistance Registry","$1,048,246","Completed","08/31/2015","Non-Comp, Interagency","Goods","990-29 Security/Safety Services","""17460002037146"""
"Department of Public Safety","2013-04-30","CITY OF AUSTIN","405-EMD-13-16-32228","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-EMD-13-16-32228' target='_blank'>405-EMD-13-16-32228</a>","Develop and Implement New AED program","$122,812","Completed","07/01/2019","Non-Comp, Interagency","Medical","948-7  Medical Services","""17460000858122"""
"Department of Public Safety","2013-05-08","LEIF JOHNSON FORD","405-15-P000895","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000895' target='_blank'>405-15-P000895</a>","Purchase of Ford Distributor Parts","$450,000","Completed","11/30/2018","Competitive","Goods","60 -71 Goods","""17429222403008"""
"Department of Public Safety","2013-05-09","COHNREZNICK LLP","405-EMD-13-14-C30678","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-EMD-13-14-C30678' target='_blank'>405-EMD-13-14-C30678</a>","Havey included - Grant Auditing","$16,609,769","Completed","02/28/2018","Competitive","Legal","946-20 Legal/Financial Services","""12214780996000"""
"Department of Public Safety","2013-05-09","HORNE LLP DBA TEXAS DEPARTMENT OF HOUSING AND COMM","405-EMD-13-14-C32506","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-EMD-13-14-C32506' target='_blank'>405-EMD-13-14-C32506</a>","Harvey included - Grant Auditing","$32,300,901","Completed","02/28/2018","Competitive","Legal","946-20 Legal/Financial Services","""12019412449004"""
"Department of Public Safety","2013-05-09","ERNST & YOUNG LLP","405-EMD-13-14-C32507","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-EMD-13-14-C32507' target='_blank'>405-EMD-13-14-C32507</a>","Hurricane Harvey included - Grant Auditing","$13,578,018","Completed","02/28/2018","Competitive","Legal","946-20 Legal/Financial Services","""13465655960007"""
"Department of Public Safety","2013-05-09","GRANT THORNTON LLP","405-EMD-13-14-C32508","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-EMD-13-14-C32508' target='_blank'>405-EMD-13-14-C32508</a>","Grant Auditing","$6,814,996","Completed","02/28/2018","Competitive","Legal","946-20 Legal/Financial Services","""ue-00000001012"""
"Department of Public Safety","2013-05-31","ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE INC","405-13-31514","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-31514' target='_blank'>405-13-31514</a>","ArcGIS software and maintenance","$1,318,642","Completed","08/31/2016","Competitive","Information","920-45 Information Technology","""19527757322007"""
"Department of Public Safety","2013-06-01","TY HARRIS","405-13-31843","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-31843' target='_blank'>405-13-31843</a>","Port Lavaca Building Lease","$155,250","Completed","02/28/2019","Competitive","Goods","971-91 Rental or Lease","""70032075619001"""
"Department of Public Safety","2013-06-01","EASTER SEALS CENTRAL TEXAS INC","405-15-P000802","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000802' target='_blank'>405-15-P000802</a>","TIBH Janitorial services","$188,000","Completed","08/31/2016","Non-Comp, Non-Emergency","Goods","910-39 Non-Construction Maintenance","""17508088113002"""
"Department of Public Safety","2013-06-10","LEGACY AVIATION L L C","405-15-P002035","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P002035' target='_blank'>405-15-P002035</a>","Aircraft maintenance","$575,000","Completed","08/31/2017","Competitive","Goods","905-16 Non-Construction Maintenance","""12018788815T13"""
"Department of Public Safety","2013-06-14","GRAYBAR ELECTRIC CO INC","405-13-31922","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-31922' target='_blank'>405-13-31922</a>","Telecom Supplies","$158,433","Completed","08/31/2017","Competitive","Other","838-85 Goods, 962-86 Other Services","""11307943800015"""
"Department of Public Safety","2013-06-18","MORPHOTRUST USA","405-13-32826A","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-32826A' target='_blank'>405-13-32826A</a>","Fingerprint Portrait Signature","$20,015,252","Completed","02/29/2020","Competitive","Information","920-16 Information Technology","""10433205159*00"""
"Department of Public Safety","2013-06-21","SMITHS DETECTION INC","405-14-40005","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-14-40005' target='_blank'>405-14-40005</a>","Procurement of x-ray screening unit","$111,397","Completed","08/31/2016","Competitive","Medical","938-95 Medical Services","""12235528234000"""
"Department of Public Safety","2013-06-27","ENVIROTEST SYSTEM HOLDINGS CORP.","405-15-P000845","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000845' target='_blank'>405-15-P000845</a>","Texas On-Road Vehicle Emissions Testing","$1,512,880","Completed","08/31/2015","Competitive","Goods","928-92 Non-Construction Maintenance","""ue-00000003282"""
"Department of Public Safety","2013-06-27","OPUS INSPECTION INC","405-16-P004331","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P004331' target='_blank'>405-16-P004331</a>","Texas On-Road Vehicle Emissions Testing","$1,235,821","Completed","02/28/2018","Competitive","Goods","928-92 Non-Construction Maintenance","""17432581415000"""
"Department of Public Safety","2013-07-01","CARY A CONAWAY","405-13-33144","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-33144' target='_blank'>405-13-33144</a>","Psychological Examinations for Trooper Candidates","$148,125","Completed","08/31/2016","Competitive","Medical","948-48 Medical Services","""70016363577001"""
"Department of Public Safety","2013-07-18","LONGHORN HELICOPTERS, INC.","405-14-40078","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-14-40078' target='_blank'>405-14-40078</a>","Procurement of Helicopter training services","$920,000","Completed","08/31/2017","Competitive","Other","905-53 Other Services","""18303851085*00"""
"Department of Public Safety","2013-07-18","ERA Training Center, LLC","405-14-40110","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-14-40110' target='_blank'>405-14-40110</a>","Simulator training for TXDPS Pilots","$245,000","Completed","08/31/2016","Competitive","Other","905-53 Other Services","""ue-00000000462"""
"Department of Public Safety","2013-07-23","ASDL PROPERTIES","405-15-P000755","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000755' target='_blank'>405-15-P000755</a>","Land Lease - Cameron County Teege Tower site","$109,748","Completed","08/31/2018","Competitive","Goods","971-35 Rental or Lease","""14620148636001"""
"Department of Public Safety","2013-07-30","TEXAS FACILITIES COMMISSION","405-15-P004409","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P004409' target='_blank'>405-15-P004409</a>","Interagency Agreement - TFC - Renovations","$585,548","Completed","06/30/2017","Non-Comp, Interagency","Management","958-26 Management Services","""17460000742700"""
"Department of Public Safety","2013-08-12","AERO COMPUTERS INC","405-15-P000121","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000121' target='_blank'>405-15-P000121</a>","Computer Equipment","$70,000","Completed","08/31/2015","Competitive","Information","905-16 Non-Construction Maintenance, 204-53 Information Technology","""17703768394000"""
"Department of Public Safety","2013-08-18","SYTECH CORPORATION","405-14-40147","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-14-40147' target='_blank'>405-14-40147</a>","Sytech ADACS","$99,246","Completed","08/31/2015","Competitive","Goods","936-57 Non-Construction Maintenance","""15415876521000"""
"Department of Public Safety","2013-08-19","TRAPWIRE INC","405-14-40001","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-14-40001' target='_blank'>405-14-40001</a>","TrapWire Inc Subscriptions and Services","$1,843,764","Completed","08/31/2018","Competitive","Information","209-37 Information Technology","""10108384560000"""
"Department of Public Safety","2013-08-19","TRAPWIRE INC","405-15-P001702","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P001702' target='_blank'>405-15-P001702</a>","TrapWire","$2,520,730","Completed","08/31/2019","Competitive","Information","209-37 Information Technology","""10108384560000"""
"Department of Public Safety","2013-08-26","MICROASSIST INC","405-13-33584","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-33584' target='_blank'>405-13-33584</a>","IBM Stroage Equipment","$995,749","Completed","09/30/2016","Competitive","Information","915-96 Information Technology","""17427684794000"""
"Department of Public Safety","2013-08-27","CUMMINS SOUTHERN PLAINS LLC","405-14-40061","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-14-40061' target='_blank'>405-14-40061</a>","Annual Preventative Maintenance of Generators","$42,192","Completed","08/31/2017","Competitive","Goods","936-39 Non-Construction Maintenance","""12615331894005"""
"Department of Public Safety","2013-08-27","MENTOR FORENSIC SERVICES LTD","405-15-P000830  405-14-40241 -","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000830  405-14-40241 -' target='_blank'>405-15-P000830  405-14-40241 -</a>","Training - Specialist Interviewing Classes","$201,850","Completed","08/31/2017","Competitive","Other","924-40 Other Services","""31000398334000"""
"Department of Public Safety","2013-08-28","EMR ELEVATOR INC","405-15-P000628","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000628' target='_blank'>405-15-P000628</a>","Elevator Service and Maintenance HQ","$184,273","Completed","12/01/2017","Competitive","Goods","910-13 Construction","""17526140334004"""
"Department of Public Safety","2013-08-30","PERISCOPE HOLDINGS INC","405-13-32243","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-13-32243' target='_blank'>405-13-32243</a>","e-Procurement System and Services","$1,617,721","Completed","11/30/2017","Competitive","Information","920-91 Information Technology, 920-64 Information Technology, 920-45 Information Technology, 209-72 Information Technology, 920-40 Information Technology, 920-5  Information Technology","""17429957057T13"""
"Department of Public Safety","2013-08-30","STACS DNA INC DBA INVITA HEALTHCARE TECHNOLOGIES","405-14-40039","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-14-40039' target='_blank'>405-14-40039</a>","STaCS Support & Maintenance","$410,559","Completed","08/31/2017","Competitive","Information","939-21 Information Technology, 920-7  Information Technology","""19804973311000"""
"Department of Public Safety","2013-08-30","JOE TAMMEN","405-LES-13-18-40056","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-LES-13-18-40056' target='_blank'>405-LES-13-18-40056</a>","Land Lease","$7,500","Completed","08/31/2018","Non-Comp, Non-Emergency","Goods","971-35 Rental or Lease","""ue-00000001116"""
"Department of Public Safety","2013-09-01","MICROASSIST INC","405-14-40003","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-14-40003' target='_blank'>405-14-40003</a>","Application Development and Maintenance Support","$5,786,006","Completed","08/31/2015","Competitive","Information","920-40 Information Technology","""17427684794005"""
"Department of Public Safety","2013-09-01","SOS INTERNATIONAL LTD","405-15-P000245","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P000245' target='_blank'>405-15-P000245</a>","Service - Monitoring and Supervisory Personnel","$740,000","Completed","08/31/2017","Competitive","Management","962-69 Management Services","""11337699869000"""
"Department of Public Safety","2013-09-01","UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER","405-15-P001427","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P001427' target='_blank'>405-15-P001427</a>","Databases related to missing persons - UNorthTexas","$2,193,256","Completed","08/31/2015","Non-Comp, Interagency","Management","961-56 Management Services","""17560640330010"""
"Department of Public Safety","2013-09-01","TEXAS EDUCATION AGENCY","405-LES-14-15-A41208","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-LES-14-15-A41208' target='_blank'>405-LES-14-15-A41208</a>","Criminal History Records Information - TEA","$4,545,000","Completed","08/31/2018","Non-Comp, Interagency","Consulting","961-30 Consulting Services","""17460030798000"""
"Department of Public Safety","2013-09-01","TEXAS PARKS & WILDLIFE DEPARTMENT","405-RGR-14-15-A40466","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-RGR-14-15-A40466' target='_blank'>405-RGR-14-15-A40466</a>","State Border Security Program","$1,800,000","Completed","08/31/2015","Non-Comp, Interagency","Goods","990-29 Security/Safety Services","""17416803728001"""
"Department of Public Safety","2013-09-03","TEXAS FACILITIES COMMISSION","405-15-P003178","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-15-P003178' target='_blank'>405-15-P003178</a>","TFC building upgrade for DPS","$4,104,646","Completed","05/01/2018","Competitive","Management","909-3  Management Services","""17460000742008"""
